전표번호,전기일자,입력일시,계정코드,계정과목,차변금액,대변금액,적요,입력자,승인자,is_anomaly,anomaly_type
JE00012,2025-07-14,2025-07-14 13:59,146,상품,"24,335,700",0,상품 매입,정전표,이감사,정상,
JE00012,2025-07-14,2025-07-14 13:59,251,외상매입금,0,"24,335,700",상품 매입,정전표,이감사,정상,
JE00013,2025-04-28,2025-04-28 09:51,813,접대비,"3,032,700",0,거래처 접대,박세무,정전표,정상,
JE00013,2025-04-28,2025-04-28 09:51,101,현금,0,"3,032,700",거래처 접대,박세무,정전표,정상,
JE00014,2025-04-21,2025-04-21 14:13,801,급여,"3,570,100",0,직원 급여 지급,최결산,정전표,정상,
JE00014,2025-04-21,2025-04-21 14:13,101,현금,0,"3,570,100",직원 급여 지급,최결산,정전표,정상,
JE00015,2025-05-16,2025-05-16 11:15,830,지급수수료,"7,590,500",0,수수료 이체,정전표,박세무,정상,
JE00015,2025-05-16,2025-05-16 11:15,103,보통예금,0,"7,590,500",수수료 이체,정전표,박세무,정상,
JE00016,2025-10-27,2025-10-27 15:23,820,감가상각비,"22,562,200",0,월 감가상각 계상,이감사,박세무,정상,
JE00016,2025-10-27,2025-10-27 15:23,203,감가상각누계액,0,"22,562,200",월 감가상각 계상,이감사,박세무,정상,
JE00017,2025-02-17,2025-02-17 09:55,811,복리후생비,"25,974,400",0,직원 복리후생,김회계,박세무,정상,
JE00017,2025-02-17,2025-02-17 09:55,103,보통예금,0,"25,974,400",직원 복리후생,김회계,박세무,정상,
JE00018,2025-11-03,2025-11-03 10:24,146,상품,"22,233,300",0,상품 매입,최결산,정전표,정상,
JE00018,2025-11-03,2025-11-03 10:24,251,외상매입금,0,"22,233,300",상품 매입,최결산,정전표,정상,
JE00019,2025-10-13,2025-10-13 09:43,811,복리후생비,"13,281,300",0,직원 복리후생,김회계,최결산,정상,
JE00019,2025-10-13,2025-10-13 09:43,103,보통예금,0,"13,281,300",직원 복리후생,김회계,최결산,정상,
JE00020,2025-06-02,2025-06-02 15:10,813,접대비,"5,948,500",0,거래처 접대,최결산,김회계,정상,
JE00020,2025-06-02,2025-06-02 15:10,101,현금,0,"5,948,500",거래처 접대,최결산,김회계,정상,
JE00021,2025-04-02,2025-04-02 17:58,801,급여,"26,345,100",0,직원 급여 지급,김회계,최결산,정상,
JE00021,2025-04-02,2025-04-02 17:58,101,현금,0,"26,345,100",직원 급여 지급,김회계,최결산,정상,
JE00022,2025-03-20,2025-03-20 14:48,811,복리후생비,"10,528,600",0,직원 복리후생,이감사,김회계,정상,
JE00022,2025-03-20,2025-03-20 14:48,103,보통예금,0,"10,528,600",직원 복리후생,이감사,김회계,정상,
JE00023,2025-09-08,2025-09-08 09:07,820,감가상각비,"17,095,100",0,월 감가상각 계상,박세무,최결산,정상,
JE00023,2025-09-08,2025-09-08 09:07,203,감가상각누계액,0,"17,095,100",월 감가상각 계상,박세무,최결산,정상,
JE00024,2025-05-05,2025-05-05 10:05,251,외상매입금,"3,136,900",0,매입대금 지급,최결산,김회계,정상,
JE00024,2025-05-05,2025-05-05 10:05,101,현금,0,"3,136,900",매입대금 지급,최결산,김회계,정상,
JE00025,2025-03-07,2025-03-07 16:35,811,복리후생비,"6,693,400",0,직원 복리후생,이감사,최결산,정상,
JE00025,2025-03-07,2025-03-07 16:35,103,보통예금,0,"6,693,400",직원 복리후생,이감사,최결산,정상,
JE00026,2025-04-21,2025-04-21 17:48,811,복리후생비,"22,284,600",0,직원 복리후생,이감사,최결산,정상,
JE00026,2025-04-21,2025-04-21 17:48,103,보통예금,0,"22,284,600",직원 복리후생,이감사,최결산,정상,
JE00027,2025-08-13,2025-08-13 17:28,812,여비교통비,"19,677,900",0,출장 여비 정산,김회계,박세무,정상,
JE00027,2025-08-13,2025-08-13 17:28,101,현금,0,"19,677,900",출장 여비 정산,김회계,박세무,정상,
JE00028,2025-06-23,2025-06-23 09:37,251,외상매입금,"3,456,800",0,매입대금 지급,정전표,이감사,정상,
JE00028,2025-06-23,2025-06-23 09:37,101,현금,0,"3,456,800",매입대금 지급,정전표,이감사,정상,
JE00029,2025-01-06,2025-01-06 10:45,820,감가상각비,"11,645,700",0,월 감가상각 계상,김회계,박세무,정상,
JE00029,2025-01-06,2025-01-06 10:45,203,감가상각누계액,0,"11,645,700",월 감가상각 계상,김회계,박세무,정상,
JE00030,2025-06-19,2025-06-19 10:32,101,현금,"1,746,900",0,매출채권 회수,이감사,최결산,정상,
JE00030,2025-06-19,2025-06-19 10:32,108,외상매출금,0,"1,746,900",매출채권 회수,이감사,최결산,정상,
JE00031,2025-10-06,2025-10-06 11:46,830,지급수수료,"11,332,100",0,수수료 이체,정전표,최결산,정상,
JE00031,2025-10-06,2025-10-06 11:46,103,보통예금,0,"11,332,100",수수료 이체,정전표,최결산,정상,
JE00032,2025-07-28,2025-07-28 12:06,251,외상매입금,"24,897,400",0,매입대금 지급,김회계,정전표,정상,
JE00032,2025-07-28,2025-07-28 12:06,101,현금,0,"24,897,400",매입대금 지급,김회계,정전표,정상,
JE00033,2025-07-30,2025-07-30 16:55,813,접대비,"22,307,700",0,거래처 접대,김회계,이감사,정상,
JE00033,2025-07-30,2025-07-30 16:55,101,현금,0,"22,307,700",거래처 접대,김회계,이감사,정상,
JE00034,2025-06-23,2025-06-23 10:15,108,외상매출금,"21,208,900",0,제품 판매,이감사,박세무,정상,
JE00034,2025-06-23,2025-06-23 10:15,401,제품매출,0,"21,208,900",제품 판매,이감사,박세무,정상,
JE00035,2025-03-13,2025-03-13 15:11,811,복리후생비,"23,620,200",0,직원 복리후생,박세무,정전표,정상,
JE00035,2025-03-13,2025-03-13 15:11,103,보통예금,0,"23,620,200",직원 복리후생,박세무,정전표,정상,
JE00036,2025-08-15,2025-08-15 17:06,251,외상매입금,"4,052,300",0,매입대금 지급,김회계,이감사,정상,
JE00036,2025-08-15,2025-08-15 17:06,101,현금,0,"4,052,300",매입대금 지급,김회계,이감사,정상,
JE00037,2025-03-27,2025-03-27 15:31,101,현금,"12,493,000",0,매출채권 회수,최결산,이감사,정상,
JE00037,2025-03-27,2025-03-27 15:31,108,외상매출금,0,"12,493,000",매출채권 회수,최결산,이감사,정상,
JE00038,2025-03-26,2025-03-26 15:00,812,여비교통비,"3,174,100",0,출장 여비 정산,최결산,박세무,정상,
JE00038,2025-03-26,2025-03-26 15:00,101,현금,0,"3,174,100",출장 여비 정산,최결산,박세무,정상,
JE00039,2025-08-05,2025-08-05 17:42,830,지급수수료,"15,055,200",0,수수료 이체,최결산,이감사,정상,
JE00039,2025-08-05,2025-08-05 17:42,103,보통예금,0,"15,055,200",수수료 이체,최결산,이감사,정상,
JE00040,2025-04-22,2025-04-22 09:37,251,외상매입금,"15,656,000",0,매입대금 지급,정전표,김회계,정상,
JE00040,2025-04-22,2025-04-22 09:37,101,현금,0,"15,656,000",매입대금 지급,정전표,김회계,정상,
JE00041,2025-01-27,2025-01-27 16:32,813,접대비,"3,097,100",0,거래처 접대,정전표,이감사,정상,
JE00041,2025-01-27,2025-01-27 16:32,101,현금,0,"3,097,100",거래처 접대,정전표,이감사,정상,
JE00042,2025-02-11,2025-02-11 11:04,108,외상매출금,"26,724,800",0,제품 판매,정전표,김회계,정상,
JE00042,2025-02-11,2025-02-11 11:04,401,제품매출,0,"26,724,800",제품 판매,정전표,김회계,정상,
JE00043,2025-03-03,2025-03-03 12:37,251,외상매입금,"21,269,400",0,매입대금 지급,정전표,김회계,정상,
JE00043,2025-03-03,2025-03-03 12:37,101,현금,0,"21,269,400",매입대금 지급,정전표,김회계,정상,
JE00044,2025-08-04,2025-08-04 17:20,820,감가상각비,"4,398,200",0,월 감가상각 계상,박세무,이감사,정상,
JE00044,2025-08-04,2025-08-04 17:20,203,감가상각누계액,0,"4,398,200",월 감가상각 계상,박세무,이감사,정상,
JE00045,2025-05-16,2025-05-16 15:08,813,접대비,"12,614,000",0,거래처 접대,박세무,정전표,정상,
JE00045,2025-05-16,2025-05-16 15:08,101,현금,0,"12,614,000",거래처 접대,박세무,정전표,정상,
JE00046,2025-01-06,2025-01-06 16:39,813,접대비,"3,903,300",0,거래처 접대,정전표,김회계,정상,
JE00046,2025-01-06,2025-01-06 16:39,101,현금,0,"3,903,300",거래처 접대,정전표,김회계,정상,
JE00047,2025-04-21,2025-04-21 17:16,101,현금,"28,287,500",0,매출채권 회수,이감사,최결산,정상,
JE00047,2025-04-21,2025-04-21 17:16,108,외상매출금,0,"28,287,500",매출채권 회수,이감사,최결산,정상,
JE00048,2025-07-09,2025-07-09 13:10,101,현금,"12,907,500",0,매출채권 회수,최결산,박세무,정상,
JE00048,2025-07-09,2025-07-09 13:10,108,외상매출금,0,"12,907,500",매출채권 회수,최결산,박세무,정상,
JE00049,2025-01-06,2025-01-06 17:19,820,감가상각비,"27,831,700",0,월 감가상각 계상,김회계,박세무,정상,
JE00049,2025-01-06,2025-01-06 17:19,203,감가상각누계액,0,"27,831,700",월 감가상각 계상,김회계,박세무,정상,
JE00050,2025-02-24,2025-02-24 17:09,801,급여,"6,151,700",0,직원 급여 지급,박세무,최결산,정상,
JE00050,2025-02-24,2025-02-24 17:09,101,현금,0,"6,151,700",직원 급여 지급,박세무,최결산,정상,
JE00051,2025-06-25,2025-06-25 12:43,820,감가상각비,"11,143,000",0,월 감가상각 계상,박세무,정전표,정상,
JE00051,2025-06-25,2025-06-25 12:43,203,감가상각누계액,0,"11,143,000",월 감가상각 계상,박세무,정전표,정상,
JE00052,2025-02-17,2025-02-17 15:53,801,급여,"2,763,300",0,직원 급여 지급,박세무,김회계,정상,
JE00052,2025-02-17,2025-02-17 15:53,101,현금,0,"2,763,300",직원 급여 지급,박세무,김회계,정상,
JE00053,2025-03-10,2025-03-10 13:10,108,외상매출금,"17,587,900",0,제품 판매,최결산,정전표,정상,
JE00053,2025-03-10,2025-03-10 13:10,401,제품매출,0,"17,587,900",제품 판매,최결산,정전표,정상,
JE00054,2025-02-27,2025-02-27 10:56,811,복리후생비,"606,900",0,직원 복리후생,이감사,김회계,정상,
JE00054,2025-02-27,2025-02-27 10:56,103,보통예금,0,"606,900",직원 복리후생,이감사,김회계,정상,
JE00055,2025-03-17,2025-03-17 15:08,813,접대비,"29,068,200",0,거래처 접대,김회계,최결산,정상,
JE00055,2025-03-17,2025-03-17 15:08,101,현금,0,"29,068,200",거래처 접대,김회계,최결산,정상,
JE00056,2025-07-03,2025-07-03 12:43,813,접대비,"2,191,600",0,거래처 접대,이감사,김회계,정상,
JE00056,2025-07-03,2025-07-03 12:43,101,현금,0,"2,191,600",거래처 접대,이감사,김회계,정상,
JE00057,2025-07-28,2025-07-28 11:59,813,접대비,"29,454,000",0,거래처 접대,이감사,박세무,정상,
JE00057,2025-07-28,2025-07-28 11:59,101,현금,0,"29,454,000",거래처 접대,이감사,박세무,정상,
JE00058,2025-01-13,2025-01-13 11:47,146,상품,"21,716,100",0,상품 매입,박세무,정전표,정상,
JE00058,2025-01-13,2025-01-13 11:47,251,외상매입금,0,"21,716,100",상품 매입,박세무,정전표,정상,
JE00059,2025-03-24,2025-03-24 10:24,251,외상매입금,"14,088,300",0,매입대금 지급,김회계,정전표,정상,
JE00059,2025-03-24,2025-03-24 10:24,101,현금,0,"14,088,300",매입대금 지급,김회계,정전표,정상,
JE00060,2025-08-25,2025-08-25 14:19,251,외상매입금,"10,563,300",0,매입대금 지급,이감사,박세무,정상,
JE00060,2025-08-25,2025-08-25 14:19,101,현금,0,"10,563,300",매입대금 지급,이감사,박세무,정상,
JE00061,2025-07-24,2025-07-24 14:17,108,외상매출금,"10,225,500",0,제품 판매,김회계,최결산,정상,
JE00061,2025-07-24,2025-07-24 14:17,401,제품매출,0,"10,225,500",제품 판매,김회계,최결산,정상,
JE00062,2025-07-24,2025-07-24 17:21,813,접대비,"26,807,500",0,거래처 접대,김회계,이감사,정상,
JE00062,2025-07-24,2025-07-24 17:21,101,현금,0,"26,807,500",거래처 접대,김회계,이감사,정상,
JE00063,2025-10-27,2025-10-27 13:02,801,급여,"9,462,000",0,직원 급여 지급,김회계,정전표,정상,
JE00063,2025-10-27,2025-10-27 13:02,101,현금,0,"9,462,000",직원 급여 지급,김회계,정전표,정상,
JE00064,2025-08-12,2025-08-12 17:07,813,접대비,"16,545,700",0,거래처 접대,최결산,이감사,정상,
JE00064,2025-08-12,2025-08-12 17:07,101,현금,0,"16,545,700",거래처 접대,최결산,이감사,정상,
JE00065,2025-12-29,2025-12-29 15:00,801,급여,"2,427,100",0,직원 급여 지급,정전표,이감사,정상,
JE00065,2025-12-29,2025-12-29 15:00,101,현금,0,"2,427,100",직원 급여 지급,정전표,이감사,정상,
JE00066,2025-02-05,2025-02-05 14:39,813,접대비,"22,712,400",0,거래처 접대,박세무,김회계,정상,
JE00066,2025-02-05,2025-02-05 14:39,101,현금,0,"22,712,400",거래처 접대,박세무,김회계,정상,
JE00067,2025-06-09,2025-06-09 15:20,801,급여,"26,687,800",0,직원 급여 지급,최결산,박세무,정상,
JE00067,2025-06-09,2025-06-09 15:20,101,현금,0,"26,687,800",직원 급여 지급,최결산,박세무,정상,
JE00068,2025-04-09,2025-04-09 15:42,811,복리후생비,"6,773,500",0,직원 복리후생,최결산,이감사,정상,
JE00068,2025-04-09,2025-04-09 15:42,103,보통예금,0,"6,773,500",직원 복리후생,최결산,이감사,정상,
JE00069,2025-06-04,2025-06-04 15:35,820,감가상각비,"29,937,500",0,월 감가상각 계상,김회계,최결산,정상,
JE00069,2025-06-04,2025-06-04 15:35,203,감가상각누계액,0,"29,937,500",월 감가상각 계상,김회계,최결산,정상,
JE00070,2025-08-11,2025-08-11 14:29,801,급여,"11,119,600",0,직원 급여 지급,최결산,정전표,정상,
JE00070,2025-08-11,2025-08-11 14:29,101,현금,0,"11,119,600",직원 급여 지급,최결산,정전표,정상,
JE00071,2025-09-01,2025-09-01 11:42,251,외상매입금,"26,900,200",0,매입대금 지급,김회계,최결산,정상,
JE00071,2025-09-01,2025-09-01 11:42,101,현금,0,"26,900,200",매입대금 지급,김회계,최결산,정상,
JE00072,2025-02-17,2025-02-17 12:43,811,복리후생비,"17,673,500",0,직원 복리후생,박세무,이감사,정상,
JE00072,2025-02-17,2025-02-17 12:43,103,보통예금,0,"17,673,500",직원 복리후생,박세무,이감사,정상,
JE00073,2025-01-13,2025-01-13 09:15,251,외상매입금,"7,825,500",0,매입대금 지급,최결산,김회계,정상,
JE00073,2025-01-13,2025-01-13 09:15,101,현금,0,"7,825,500",매입대금 지급,최결산,김회계,정상,
JE00074,2025-11-19,2025-11-19 12:45,830,지급수수료,"21,828,600",0,수수료 이체,최결산,정전표,정상,
JE00074,2025-11-19,2025-11-19 12:45,103,보통예금,0,"21,828,600",수수료 이체,최결산,정전표,정상,
JE00075,2025-03-17,2025-03-17 09:57,812,여비교통비,"12,891,800",0,출장 여비 정산,김회계,정전표,정상,
JE00075,2025-03-17,2025-03-17 09:57,101,현금,0,"12,891,800",출장 여비 정산,김회계,정전표,정상,
JE00076,2025-12-23,2025-12-23 17:29,251,외상매입금,"9,321,500",0,매입대금 지급,김회계,박세무,정상,
JE00076,2025-12-23,2025-12-23 17:29,101,현금,0,"9,321,500",매입대금 지급,김회계,박세무,정상,
JE00077,2025-03-10,2025-03-10 16:42,101,현금,"24,031,700",0,매출채권 회수,정전표,박세무,정상,
JE00077,2025-03-10,2025-03-10 16:42,108,외상매출금,0,"24,031,700",매출채권 회수,정전표,박세무,정상,
JE00078,2025-08-07,2025-08-07 17:28,830,지급수수료,"26,564,900",0,수수료 이체,이감사,정전표,정상,
JE00078,2025-08-07,2025-08-07 17:28,103,보통예금,0,"26,564,900",수수료 이체,이감사,정전표,정상,
JE00079,2025-05-07,2025-05-07 13:49,830,지급수수료,"13,689,100",0,수수료 이체,정전표,최결산,정상,
JE00079,2025-05-07,2025-05-07 13:49,103,보통예금,0,"13,689,100",수수료 이체,정전표,최결산,정상,
JE00080,2025-08-14,2025-08-14 10:45,251,외상매입금,"14,496,800",0,매입대금 지급,박세무,이감사,정상,
JE00080,2025-08-14,2025-08-14 10:45,101,현금,0,"14,496,800",매입대금 지급,박세무,이감사,정상,
JE00081,2025-06-13,2025-06-13 17:05,801,급여,"17,708,000",0,직원 급여 지급,이감사,박세무,정상,
JE00081,2025-06-13,2025-06-13 17:05,101,현금,0,"17,708,000",직원 급여 지급,이감사,박세무,정상,
JE00082,2025-12-22,2025-12-22 11:45,251,외상매입금,"20,182,000",0,매입대금 지급,이감사,김회계,정상,
JE00082,2025-12-22,2025-12-22 11:45,101,현금,0,"20,182,000",매입대금 지급,이감사,김회계,정상,
JE00083,2025-06-19,2025-06-19 17:29,812,여비교통비,"21,469,900",0,출장 여비 정산,최결산,김회계,정상,
JE00083,2025-06-19,2025-06-19 17:29,101,현금,0,"21,469,900",출장 여비 정산,최결산,김회계,정상,
JE00084,2025-07-21,2025-07-21 09:54,251,외상매입금,"22,127,600",0,매입대금 지급,정전표,최결산,정상,
JE00084,2025-07-21,2025-07-21 09:54,101,현금,0,"22,127,600",매입대금 지급,정전표,최결산,정상,
JE00085,2025-06-30,2025-06-30 13:48,830,지급수수료,"409,100",0,수수료 이체,최결산,정전표,정상,
JE00085,2025-06-30,2025-06-30 13:48,103,보통예금,0,"409,100",수수료 이체,최결산,정전표,정상,
JE00086,2025-11-05,2025-11-05 12:31,811,복리후생비,"28,733,000",0,직원 복리후생,이감사,최결산,정상,
JE00086,2025-11-05,2025-11-05 12:31,103,보통예금,0,"28,733,000",직원 복리후생,이감사,최결산,정상,
JE00087,2025-01-15,2025-01-15 15:21,812,여비교통비,"25,561,600",0,출장 여비 정산,최결산,이감사,정상,
JE00087,2025-01-15,2025-01-15 15:21,101,현금,0,"25,561,600",출장 여비 정산,최결산,이감사,정상,
JE00088,2025-11-17,2025-11-17 17:01,830,지급수수료,"6,791,300",0,수수료 이체,최결산,김회계,정상,
JE00088,2025-11-17,2025-11-17 17:01,103,보통예금,0,"6,791,300",수수료 이체,최결산,김회계,정상,
JE00089,2025-03-11,2025-03-11 16:11,101,현금,"22,571,600",0,매출채권 회수,김회계,최결산,정상,
JE00089,2025-03-11,2025-03-11 16:11,108,외상매출금,0,"22,571,600",매출채권 회수,김회계,최결산,정상,
JE00090,2025-04-21,2025-04-21 16:20,812,여비교통비,"17,262,700",0,출장 여비 정산,박세무,정전표,정상,
JE00090,2025-04-21,2025-04-21 16:20,101,현금,0,"17,262,700",출장 여비 정산,박세무,정전표,정상,
JE00091,2025-05-12,2025-05-12 10:30,801,급여,"22,202,100",0,직원 급여 지급,김회계,이감사,정상,
JE00091,2025-05-12,2025-05-12 10:30,101,현금,0,"22,202,100",직원 급여 지급,김회계,이감사,정상,
JE00092,2025-12-01,2025-12-01 10:49,813,접대비,"11,855,600",0,거래처 접대,김회계,이감사,정상,
JE00092,2025-12-01,2025-12-01 10:49,101,현금,0,"11,855,600",거래처 접대,김회계,이감사,정상,
JE00093,2025-01-13,2025-01-13 11:15,251,외상매입금,"10,552,200",0,매입대금 지급,이감사,정전표,정상,
JE00093,2025-01-13,2025-01-13 11:15,101,현금,0,"10,552,200",매입대금 지급,이감사,정전표,정상,
JE00094,2025-04-22,2025-04-22 16:44,101,현금,"29,668,200",0,매출채권 회수,박세무,최결산,정상,
JE00094,2025-04-22,2025-04-22 16:44,108,외상매출금,0,"29,668,200",매출채권 회수,박세무,최결산,정상,
JE00095,2025-03-25,2025-03-25 13:06,146,상품,"6,104,800",0,상품 매입,정전표,김회계,정상,
JE00095,2025-03-25,2025-03-25 13:06,251,외상매입금,0,"6,104,800",상품 매입,정전표,김회계,정상,
JE00096,2025-07-23,2025-07-23 12:04,801,급여,"19,776,800",0,직원 급여 지급,정전표,이감사,정상,
JE00096,2025-07-23,2025-07-23 12:04,101,현금,0,"19,776,800",직원 급여 지급,정전표,이감사,정상,
JE00097,2025-12-17,2025-12-17 10:50,101,현금,"15,911,600",0,매출채권 회수,정전표,김회계,정상,
JE00097,2025-12-17,2025-12-17 10:50,108,외상매출금,0,"15,911,600",매출채권 회수,정전표,김회계,정상,
JE00098,2025-08-08,2025-08-08 14:04,813,접대비,"28,031,100",0,거래처 접대,정전표,박세무,정상,
JE00098,2025-08-08,2025-08-08 14:04,101,현금,0,"28,031,100",거래처 접대,정전표,박세무,정상,
JE00099,2025-09-08,2025-09-08 10:27,108,외상매출금,"22,123,100",0,제품 판매,박세무,정전표,정상,
JE00099,2025-09-08,2025-09-08 10:27,401,제품매출,0,"22,123,100",제품 판매,박세무,정전표,정상,
JE00100,2025-04-01,2025-04-01 17:41,146,상품,"22,932,000",0,상품 매입,박세무,정전표,정상,
JE00100,2025-04-01,2025-04-01 17:41,251,외상매입금,0,"22,932,000",상품 매입,박세무,정전표,정상,
JE00101,2025-10-31,2025-10-31 13:20,830,지급수수료,"22,936,600",0,수수료 이체,이감사,김회계,정상,
JE00101,2025-10-31,2025-10-31 13:20,103,보통예금,0,"22,936,600",수수료 이체,이감사,김회계,정상,
JE00102,2025-05-05,2025-05-05 16:36,801,급여,"23,735,000",0,직원 급여 지급,정전표,최결산,정상,
JE00102,2025-05-05,2025-05-05 16:36,101,현금,0,"23,735,000",직원 급여 지급,정전표,최결산,정상,
JE00103,2025-09-11,2025-09-11 14:11,813,접대비,"1,604,700",0,거래처 접대,최결산,이감사,정상,
JE00103,2025-09-11,2025-09-11 14:11,101,현금,0,"1,604,700",거래처 접대,최결산,이감사,정상,
JE00104,2025-06-24,2025-06-24 13:56,813,접대비,"13,645,100",0,거래처 접대,정전표,박세무,정상,
JE00104,2025-06-24,2025-06-24 13:56,101,현금,0,"13,645,100",거래처 접대,정전표,박세무,정상,
JE00105,2025-09-22,2025-09-22 12:05,811,복리후생비,"632,200",0,직원 복리후생,이감사,정전표,정상,
JE00105,2025-09-22,2025-09-22 12:05,103,보통예금,0,"632,200",직원 복리후생,이감사,정전표,정상,
JE00106,2025-05-05,2025-05-05 16:41,830,지급수수료,"29,207,200",0,수수료 이체,최결산,정전표,정상,
JE00106,2025-05-05,2025-05-05 16:41,103,보통예금,0,"29,207,200",수수료 이체,최결산,정전표,정상,
JE00107,2025-06-02,2025-06-02 12:25,108,외상매출금,"4,978,600",0,제품 판매,이감사,최결산,정상,
JE00107,2025-06-02,2025-06-02 12:25,401,제품매출,0,"4,978,600",제품 판매,이감사,최결산,정상,
JE00108,2025-09-01,2025-09-01 17:33,820,감가상각비,"19,447,200",0,월 감가상각 계상,박세무,정전표,정상,
JE00108,2025-09-01,2025-09-01 17:33,203,감가상각누계액,0,"19,447,200",월 감가상각 계상,박세무,정전표,정상,
JE00109,2025-06-30,2025-06-30 16:17,811,복리후생비,"17,442,900",0,직원 복리후생,박세무,최결산,정상,
JE00109,2025-06-30,2025-06-30 16:17,103,보통예금,0,"17,442,900",직원 복리후생,박세무,최결산,정상,
JE00110,2025-04-09,2025-04-09 14:07,251,외상매입금,"6,425,800",0,매입대금 지급,정전표,이감사,정상,
JE00110,2025-04-09,2025-04-09 14:07,101,현금,0,"6,425,800",매입대금 지급,정전표,이감사,정상,
JE00111,2025-09-05,2025-09-05 13:46,251,외상매입금,"11,444,700",0,매입대금 지급,정전표,박세무,정상,
JE00111,2025-09-05,2025-09-05 13:46,101,현금,0,"11,444,700",매입대금 지급,정전표,박세무,정상,
JE00112,2025-06-02,2025-06-02 12:23,101,현금,"10,277,300",0,매출채권 회수,이감사,최결산,정상,
JE00112,2025-06-02,2025-06-02 12:23,108,외상매출금,0,"10,277,300",매출채권 회수,이감사,최결산,정상,
JE00113,2025-03-06,2025-03-06 13:02,108,외상매출금,"28,104,000",0,제품 판매,김회계,최결산,정상,
JE00113,2025-03-06,2025-03-06 13:02,401,제품매출,0,"28,104,000",제품 판매,김회계,최결산,정상,
JE00114,2025-02-24,2025-02-24 09:36,146,상품,"25,836,100",0,상품 매입,박세무,정전표,정상,
JE00114,2025-02-24,2025-02-24 09:36,251,외상매입금,0,"25,836,100",상품 매입,박세무,정전표,정상,
JE00115,2025-06-24,2025-06-24 11:03,830,지급수수료,"23,193,200",0,수수료 이체,박세무,정전표,정상,
JE00115,2025-06-24,2025-06-24 11:03,103,보통예금,0,"23,193,200",수수료 이체,박세무,정전표,정상,
JE00116,2025-07-25,2025-07-25 16:04,101,현금,"3,525,800",0,매출채권 회수,정전표,김회계,정상,
JE00116,2025-07-25,2025-07-25 16:04,108,외상매출금,0,"3,525,800",매출채권 회수,정전표,김회계,정상,
JE00117,2025-10-16,2025-10-16 13:05,146,상품,"7,922,200",0,상품 매입,이감사,김회계,정상,
JE00117,2025-10-16,2025-10-16 13:05,251,외상매입금,0,"7,922,200",상품 매입,이감사,김회계,정상,
JE00118,2025-11-07,2025-11-07 12:49,811,복리후생비,"21,919,500",0,직원 복리후생,정전표,최결산,정상,
JE00118,2025-11-07,2025-11-07 12:49,103,보통예금,0,"21,919,500",직원 복리후생,정전표,최결산,정상,
JE00119,2025-06-02,2025-06-02 15:19,830,지급수수료,"23,311,300",0,수수료 이체,정전표,김회계,정상,
